iteration,loss,max_conf,mean_conf,grad_norm,texture_mean,texture_std,spawn_idx,weather_name,timestamp
510,0.36135727167129517,0.643052339553833,0.28004637360572815,0.2683892548084259,0.49361491203308105,0.3763304054737091,51,partly_cloudy,2026-02-28T22:32:54.375855
520,0.1750279814004898,0.24709708988666534,0.15831506252288818,0.11460483074188232,0.49332350492477417,0.37685275077819824,52,hazy,2026-02-28T22:33:09.048271
530,0.4419195055961609,0.6145809292793274,0.3264119327068329,0.2952158451080322,0.49277111887931824,0.37672099471092224,53,clear_noon,2026-02-28T22:33:23.697348
540,0.3210425277551015,0.5823648571968079,0.24593643844127655,0.18157285451889038,0.4916553497314453,0.3782725930213928,54,clear_noon,2026-02-28T22:33:38.371150
550,0.5953980485598246,0.812648594379425,0.37601765990257263,0.22613832354545593,0.49044355750083923,0.37876713275909424,55,partly_cloudy,2026-02-28T22:33:53.037771
560,0.29174296061197913,0.5900431275367737,0.24033255875110626,0.19080695509910583,0.4905831515789032,0.37962979078292847,56,clear_noon,2026-02-28T22:34:07.740611
570,0.34267194072405494,0.6306943893432617,0.27149954438209534,0.1772705316543579,0.4892910122871399,0.3799944818019867,57,clear_afternoon,2026-02-28T22:34:22.401853
580,0.30278882881005603,0.5252541899681091,0.24156850576400757,0.16925197839736938,0.48773133754730225,0.37895482778549194,58,clear_noon,2026-02-28T22:34:37.081064
590,0.541569302479426,0.8056573867797852,0.3392985165119171,0.30277180671691895,0.48812612891197205,0.37899357080459595,59,clear_noon,2026-02-28T22:34:51.722997
600,0.4245763123035431,0.7417981028556824,0.30597439408302307,0.25568220019340515,0.4889255464076996,0.38173726201057434,60,golden_hour,2026-02-28T22:35:06.417262
610,0.1964319000641505,0.45885151624679565,0.16658489406108856,0.18167605996131897,0.4907167851924896,0.3839971423149109,61,golden_hour,2026-02-28T22:35:21.093232
620,0.3951681653658549,0.8476403951644897,0.2688618004322052,0.22550807893276215,0.49130743741989136,0.38476842641830444,62,golden_hour,2026-02-28T22:35:35.796400
630,0.2797369882464409,0.7004876136779785,0.20450390875339508,0.17508576810359955,0.49124449491500854,0.384076327085495,63,clear_afternoon,2026-02-28T22:35:50.433098
640,0.1891617700457573,0.36965692043304443,0.16636155545711517,0.08772466331720352,0.4912574291229248,0.3833698034286499,64,clear_afternoon,2026-02-28T22:36:05.105688
650,0.5688957770665487,0.7891977429389954,0.3927987515926361,0.24052804708480835,0.49046313762664795,0.3840284049510956,65,clear_noon,2026-02-28T22:36:19.758135
660,0.246264378229777,0.6218220591545105,0.1922980695962906,0.1400638222694397,0.49045810103416443,0.3848838210105896,66,clear_afternoon,2026-02-28T22:36:34.544335
670,0.31773411730925244,0.4229929447174072,0.26032450795173645,0.17646636068820953,0.4919135272502899,0.38758406043052673,67,golden_hour,2026-02-28T22:36:49.213050
680,0.3645365933577219,0.6369438171386719,0.27838781476020813,0.1865144670009613,0.49216121435165405,0.3900567889213562,68,overcast,2026-02-28T22:37:03.898193
690,0.5087159375349681,0.8466317057609558,0.35207071900367737,0.23267272114753723,0.490255206823349,0.3909321129322052,69,overcast,2026-02-28T22:37:18.573465
700,0.32302017509937286,0.6193325519561768,0.25830206274986267,0.18308125436306,0.48864251375198364,0.39033830165863037,70,overcast,2026-02-28T22:37:33.262035
710,0.3522796630859375,0.513340413570404,0.28066393733024597,0.19927899539470673,0.4876730442047119,0.3890336751937866,71,clear_afternoon,2026-02-28T22:37:47.982031
720,0.3429480294386546,0.48005974292755127,0.27809062600135803,0.2554031014442444,0.48859328031539917,0.388694167137146,72,hazy,2026-02-28T22:38:02.613042
730,0.3500538070996603,0.5246670246124268,0.28312087059020996,0.2360953539609909,0.48837217688560486,0.3857179284095764,73,clear_afternoon,2026-02-28T22:38:17.280646
740,0.48430800437927246,0.6653777956962585,0.356631875038147,0.34066876769065857,0.4877908229827881,0.38388335704803467,74,overcast,2026-02-28T22:38:31.942029
750,0.2912548283735911,0.4453830420970917,0.2392568588256836,0.19029906392097473,0.4873755872249603,0.38189709186553955,75,clear_afternoon,2026-02-28T22:38:46.626898
760,0.3877837061882019,0.730608344078064,0.28344348073005676,0.19595959782600403,0.48713064193725586,0.381634920835495,76,golden_hour,2026-02-28T22:39:01.252489
770,0.30876894791920984,0.5418516993522644,0.2396300584077835,0.28034088015556335,0.48561447858810425,0.38161295652389526,77,clear_noon,2026-02-28T22:39:15.939133
780,0.32344848910967505,0.5494113564491272,0.2629859745502472,0.2426987886428833,0.4835582375526428,0.3816477358341217,78,overcast,2026-02-28T22:39:30.605315
790,0.2803681492805481,0.5213420391082764,0.2301585078239441,0.20675873756408691,0.48138269782066345,0.382518470287323,79,golden_hour,2026-02-28T22:39:45.275866
800,0.44707608222961426,0.5849962830543518,0.340337872505188,0.2996997535228729,0.4790603518486023,0.3831188380718231,80,overcast,2026-02-28T22:39:59.936177
810,0.15579438706239063,0.2522781491279602,0.14207279682159424,0.1196150854229927,0.4772978723049164,0.3819279670715332,81,hazy,2026-02-28T22:40:14.650154
820,0.36578551431496936,0.7741918563842773,0.2661646008491516,0.18753302097320557,0.47541844844818115,0.3798254728317261,82,overcast,2026-02-28T22:40:29.275743
830,0.2558061530192693,0.4971465468406677,0.20976805686950684,0.14110343158245087,0.47353848814964294,0.37966978549957275,83,partly_cloudy,2026-02-28T22:40:43.967691
840,0.21979496876398721,0.4434136748313904,0.18930679559707642,0.17200519144535065,0.4729793667793274,0.3803871273994446,84,overcast,2026-02-28T22:40:58.644015
850,0.37130069484313327,0.6971875429153442,0.2678455114364624,0.24995830655097961,0.4734267592430115,0.38086217641830444,85,partly_cloudy,2026-02-28T22:41:13.317465
860,0.2550059755643209,0.3737597167491913,0.21979956328868866,0.15497979521751404,0.47393083572387695,0.3812670111656189,86,clear_afternoon,2026-02-28T22:41:27.976980
870,0.5325231552124023,0.6740453243255615,0.380010724067688,0.3454492688179016,0.4754258394241333,0.3829542100429535,87,clear_noon,2026-02-28T22:41:42.674058
880,0.1577620655298233,0.36437198519706726,0.1394323706626892,0.10817128419876099,0.4755774438381195,0.3859703540802002,88,hazy,2026-02-28T22:41:57.331901
890,0.43417288859685266,0.5992634892463684,0.3252425789833069,0.2422202080488205,0.4754260182380676,0.3874629735946655,89,clear_noon,2026-02-28T22:42:12.027906
900,0.2732538829247157,0.6448789238929749,0.2164209932088852,0.16380392014980316,0.47465652227401733,0.3897193372249603,90,partly_cloudy,2026-02-28T22:42:26.734233
